Model,Attribution Method,Layer,Metric,Upscale Method,Value
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1264920383691787
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.708268404006958
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1203256472945213
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.2200918346643448
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0576736181974411
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.9038109183311462
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0497115030884742
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1641953885555267
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1725779473781585
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.9457154870033264
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1825601458549499
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1718553602695465
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.2644176483154297
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.436407059431076
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.2751549482345581
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.200056791305542
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0262359473854303
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.7143787741661072
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0234519466757774
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1632846146821975
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0638457238674163
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.1307881772518158
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0553076975047588
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.0546077117323875
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0825118348002433
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.9002547860145569
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0849369019269943
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1846511363983154
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0737747550010681
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.5616955757141113
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0679781883955001
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1262019574642181
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.2935373187065124
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.2802202105522156
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.3141010701656341
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1650116145610809
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0265700295567512
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.1528067886829376
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.029475076124072
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.0675762370228767
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.2581731379032135
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.319291740655899
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.2542034089565277
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1637403815984726
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0374775752425193
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.9071575999259948
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0335476212203502
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1506889313459396
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1488713324069976
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.4364694952964782
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1080884262919426
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1372821033000946
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.150796577334404
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.6219974756240845
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1656426638364792
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1990209817886352
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1583768874406814
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.347182959318161
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1280930489301681
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.128453254699707
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1967782527208328
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.3122500479221344
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1267368495464325
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1199360489845275
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1469443142414093
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.1409974098205566
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1596372723579406
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.0954921767115593
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0520851835608482
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.3214631378650665
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0362516678869724
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.0951595827937126
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.3245638608932495
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.3728976845741272
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.283573567867279
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1712282747030258
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1029174476861953
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.709393322467804
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0931196138262748
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1296194046735763
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1340992748737335
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.4287088513374328
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1227046698331832
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1633174121379852
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1311694681644439
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.4824946224689483
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1283289194107055
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1935223937034607
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.3208371698856354
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.3290648162364959
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.3419983685016632
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.2171835899353027
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.090526558458805
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.8424169421195984
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0829061642289161
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1846789419651031
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.0661260932683944
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.5480955839157104
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.0557337217032909
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1411575675010681
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.3862947225570678
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.4621593058109283
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.3771624267101288
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.2612667977809906
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1101370900869369
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.1063000783324241
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.1190898790955543
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.065460093319416
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.2896676659584045
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.2381539195775985
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.2431333810091018
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1139102727174758
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.2141433209180832
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.231893315911293
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.2242356836795807
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1280340850353241
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.3405215740203857
VGG11,_DeepLiftShap,features.10,recall,SimpleUpsampling,0.4056876599788666
VGG11,_DeepLiftShap,features.10,precision,ERFUpsampling,0.3347027599811554
VGG11,_DeepLiftShap,features.10,recall,ERFUpsampling,0.1811276525259018
VGG11,_DeepLiftShap,features.10,precision,SimpleUpsampling,0.1681464314460754
