Image Index,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,None,0.15495557
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.15541765
0,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,None,0.30709916
0,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.23674867
0,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,None,0.26786366
0,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.22519198
0,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,None,0.28472188
0,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.30162385
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,None,0.25364885
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.24809532
0,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,None,0.27793905
0,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.2485832
0,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,None,0.35491014
0,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.2671971
0,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,None,0.36992478
0,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.2983202
0,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,None,0.12817672
0,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.12963927
0,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,None,0.23058654
0,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.20734231
0,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,None,0.16538428
0,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.25165358
0,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,None,0.19310805
0,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.2953286
0,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,None,0.18509217
0,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.18558344
0,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,None,0.17333245
0,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.29124892
0,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,None,0.17312068
0,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.30342704
0,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,None,0.0909573
0,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.24683684
1,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,None,0.11867954
1,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.12009069
1,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,None,0.25189748
1,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.21469781
1,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,None,0.26276743
1,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.25442532
1,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,None,0.34326196
1,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.30353394
1,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,None,0.24401836
1,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.24412969
1,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,None,0.271766
1,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.22912431
1,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,None,0.3041472
1,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.264012
1,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,None,0.37009737
1,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.31157038
1,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,None,0.06351984
1,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.061124995
1,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,None,0.1637848
1,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.15084106
1,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,None,0.1517337
1,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.17002098
1,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,None,0.21039152
1,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.22416186
1,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,None,0.18732993
1,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.18615966
1,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,None,0.30051085
1,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.28371894
1,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,None,0.26239923
1,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.33641267
1,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,None,0.25386804
1,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.2802264
