Image Index,Label,Predicted Label,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.20,coherency,ERFUpsamplingFast,None,0.9207079410552979
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.20,coherency,ERFUpsamplingFast,MultiplierMix,0.9207079410552979
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.15,coherency,ERFUpsamplingFast,None,0.8428541421890259
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.15,coherency,ERFUpsamplingFast,MultiplierMix,0.9578121900558472
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.10,coherency,ERFUpsamplingFast,None,0.7821992635726929
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.10,coherency,ERFUpsamplingFast,MultiplierMix,0.9592673778533936
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.5,coherency,ERFUpsamplingFast,None,0.9316332340240479
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.5,coherency,ERFUpsamplingFast,MultiplierMix,0.9392309188842773
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.20,coherency,bilinearUpsampling,None,0.996137797832489
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.20,coherency,bilinearUpsampling,MultiplierMix,0.996137797832489
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.15,coherency,bilinearUpsampling,None,0.9455289840698242
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.15,coherency,bilinearUpsampling,MultiplierMix,0.9809637069702148
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.10,coherency,bilinearUpsampling,None,0.949380099773407
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.10,coherency,bilinearUpsampling,MultiplierMix,0.9680513143539429
0,2,2,VGG11,Synthetic,GradCAMPlusPlus,features.5,coherency,bilinearUpsampling,None,0.9585418105125427
