Image Index,Label,Predicted Label,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
0,2,2,VGG11,Synthetic,ScoreCAM,features.20,complexity,ERFUpsamplingFast,None,10046.7412109375
0,2,2,VGG11,Synthetic,ScoreCAM,features.20,complexity,ERFUpsamplingFast,MultiplierMix,10046.7412109375
0,2,2,VGG11,Synthetic,ScoreCAM,features.15,complexity,ERFUpsamplingFast,None,10135.1396484375
0,2,2,VGG11,Synthetic,ScoreCAM,features.15,complexity,ERFUpsamplingFast,MultiplierMix,6169.2822265625
0,2,2,VGG11,Synthetic,ScoreCAM,features.10,complexity,ERFUpsamplingFast,None,10107.0546875
0,2,2,VGG11,Synthetic,ScoreCAM,features.10,complexity,ERFUpsamplingFast,MultiplierMix,5080.34765625
0,2,2,VGG11,Synthetic,ScoreCAM,features.5,complexity,ERFUpsamplingFast,None,10386.345703125
0,2,2,VGG11,Synthetic,ScoreCAM,features.5,complexity,ERFUpsamplingFast,MultiplierMix,4242.10400390625
0,2,2,VGG11,Synthetic,ScoreCAM,features.20,complexity,bilinearUpsampling,None,2432.296142578125
0,2,2,VGG11,Synthetic,ScoreCAM,features.20,complexity,bilinearUpsampling,MultiplierMix,2432.296142578125
0,2,2,VGG11,Synthetic,ScoreCAM,features.15,complexity,bilinearUpsampling,None,4181.904296875
0,2,2,VGG11,Synthetic,ScoreCAM,features.15,complexity,bilinearUpsampling,MultiplierMix,1574.128173828125
0,2,2,VGG11,Synthetic,ScoreCAM,features.10,complexity,bilinearUpsampling,None,4035.89501953125
0,2,2,VGG11,Synthetic,ScoreCAM,features.10,complexity,bilinearUpsampling,MultiplierMix,1118.1624755859375
0,2,2,VGG11,Synthetic,ScoreCAM,features.5,complexity,bilinearUpsampling,None,5385.01171875
0,2,2,VGG11,Synthetic,ScoreCAM,features.5,complexity,bilinearUpsampling,MultiplierMix,1027.8109130859375
0,2,2,VGG11,Synthetic,EigenCAM,features.20,complexity,ERFUpsamplingFast,None,10361.3984375
0,2,2,VGG11,Synthetic,EigenCAM,features.20,complexity,ERFUpsamplingFast,MultiplierMix,10361.3984375
0,2,2,VGG11,Synthetic,EigenCAM,features.15,complexity,ERFUpsamplingFast,None,10052.171875
0,2,2,VGG11,Synthetic,EigenCAM,features.15,complexity,ERFUpsamplingFast,MultiplierMix,4658.24853515625
0,2,2,VGG11,Synthetic,EigenCAM,features.10,complexity,ERFUpsamplingFast,None,10564.115234375
0,2,2,VGG11,Synthetic,EigenCAM,features.10,complexity,ERFUpsamplingFast,MultiplierMix,743.383544921875
0,2,2,VGG11,Synthetic,EigenCAM,features.5,complexity,ERFUpsamplingFast,None,11114.8974609375
0,2,2,VGG11,Synthetic,EigenCAM,features.5,complexity,ERFUpsamplingFast,MultiplierMix,419.26409912109375
0,2,2,VGG11,Synthetic,EigenCAM,features.20,complexity,bilinearUpsampling,None,37591.53125
0,2,2,VGG11,Synthetic,EigenCAM,features.20,complexity,bilinearUpsampling,MultiplierMix,37591.53125
0,2,2,VGG11,Synthetic,EigenCAM,features.15,complexity,bilinearUpsampling,None,1718.81982421875
