Model,Attribution Method,Layer,Metric,Upscale Method,Value
VGG11,_DeepLiftShap,features.20,avg_drop,ERFUpsampling,62.6367347240448
VGG11,_DeepLiftShap,features.20,increase,ERFUpsampling,0.0
VGG11,_DeepLiftShap,features.20,insertion_curve_AUC,ERFUpsampling,0.6757771149277687
VGG11,_DeepLiftShap,features.20,deletion_curve_AUC,ERFUpsampling,0.3089142304379493
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.2018277943134308
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.0869883745908737
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.2,infidelity,SimpleUpsampling,0.2309126257896423
VGG11,_DeepLiftShap,features.2,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1489747911691665
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.0878523513674736
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.1587583124637603
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1515438556671142
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.194696694612503
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.2,infidelity,SimpleUpsampling,0.2144608497619629
VGG11,_DeepLiftShap,features.2,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.139938935637474
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.1472495943307876
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.2,infidelity,SimpleUpsampling,0.1932256519794464
VGG11,_DeepLiftShap,features.2,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1063050702214241
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.0783431828022003
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.141641691327095
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.2379915118217468
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1887387782335281
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1098097190260887
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,0.1364280432462692
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1023435294628143
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,0.140773132443428
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1590451598167419
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,0.1363009512424469
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.1051564291119575
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,0.0478231348097324
