Image Index,Label,Predicted Label,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,0.000336027
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.00032467174
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,-0.00043220684
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,0.0003272774629294
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.0003221475053578
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,-0.0003918264992535
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0001450416311854
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,,0.0008161404985003
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0001487472327426
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,,-8.905917638912797e-05
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,0.0003129031683783
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.0003194806631654
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,-0.0003940293390769
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0001358219888061
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,,0.0007566848071292
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0001692426449153
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,,-2.099142875522375e-05
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.0001247606851393
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,,0.0001218705874634
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.0001183130298159
0,2,6,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,,0.0004300649743527
3,6,15,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,1.3827229849994184e-05
3,6,15,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,8.329632692039013e-06
3,6,15,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,0.0005787066183984
