Image Index,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.18482192
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.18496357
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.1834454536437988
0,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.1836019456386566
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.142246663570404
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.1393948495388031
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,,0.1616206169128418
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.2264533936977386
0,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,,0.1417914181947708
0,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.2709961831569671
0,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,,0.0542754046618938
0,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.270791232585907
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,,0.3284009993076324
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.3281351327896118
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,,0.3704253137111664
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.118713304400444
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.1180842071771621
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.0011098831892013
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.0011086607119068
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,,-0.0001901845680549
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,-3.364843723829836e-05
0,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,,-7.457923493348062e-05
0,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0001575969799887
0,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,,0.0006630074931308
0,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,1.3197131920605898e-05
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,,0.0011297162855044
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.0011258511804044
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.001099633751437
0,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.0010963982203975
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,,-0.000190456979908
0,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,-4.307100607547909e-05
0,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,,-7.291682413779199e-05
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,-0.004483382217586
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0044609410688281
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,-0.0007836405420675
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0019406073261052
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,,-0.0003972061385866
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0014699496096
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,,0.000141621712828
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0009399551199749
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,,-0.0011468778830021
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,-0.004401721060276
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0045397579669952
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,-0.0007901702192611
0,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0020560747943818
