Image Index,Model,Attribution Method,Layer,Metric,Upscale Method,Value
0,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3455742079952886
0,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.015571549534797668
1,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.25484039426415517
1,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.000257774256169796
2,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3216522907047251
2,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.17773497104644775
3,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.20544985623186063
3,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.14125724136829376
4,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5378108970424058
4,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.00043912301771342754
5,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.16467989877524383
5,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.22050940990447998
6,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.18479935104412246
6,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.007300452329218388
7,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.11865837682698469
7,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.1348184198141098
8,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.8470456539622314
8,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.017241328954696655
9,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3722326150028376
9,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-4.6086759653007903e-07
10,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10076596720346492
10,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.014116475358605385
11,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.7107329665270699
11,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.019281702116131783
12,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5936488685990501
12,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.13059404492378235
13,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.18373710602381074
13,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.011428982950747013
14,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.49187625719935507
14,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.03382624685764313
15,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.184672768509653
15,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.01183697022497654
16,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.23660810357006995
16,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0034675048664212227
17,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.08846932829326452
17,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.001762182218953967
18,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.32505842573502375
18,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.2899016737937927
19,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.627990182583386
19,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-7.696107786614448e-06
20,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.09702790662224002
20,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.007240002974867821
21,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.12175621163935318
21,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.004738552030175924
22,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.39082681608185377
22,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.0617351159453392
23,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5816554952124162
23,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.296225368976593
24,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.21666118489935843
24,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.009477553889155388
25,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.17952202203138637
25,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.006362706422805786
26,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5690387546413336
26,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-4.812236875295639e-05
27,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2891838218444123
27,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0025870795361697674
28,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.15917878660331022
28,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,5.286862142384052e-05
29,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.8775603253522548
29,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.29997462034225464
30,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.23858928026769174
30,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.00013218962703831494
31,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10601215532032635
31,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.07314479351043701
32,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.1825887147182016
32,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.13385890424251556
33,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.26262454957579234
33,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.3501860499382019
34,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5272803082541333
34,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.19093258678913116
35,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3292290657412354
35,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.0010877435561269522
36,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.06850796295297211
36,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.00280412076972425
37,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2672643630383984
37,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-4.055242607137188e-05
38,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5257946182911202
38,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0003161294443998486
39,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3041105125261469
39,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.18526631593704224
40,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.24551000715039334
40,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.18464457988739014
41,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3143931042591902
41,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.04062394052743912
42,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.23855889918408613
42,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.14091891050338745
43,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.09036969515511378
43,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0033245182130485773
44,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3139565649692858
44,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.3002432584762573
45,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3226233223604392
45,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.013540977612137794
46,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.690772519177203
46,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.002139423508197069
47,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.09653249312270255
47,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.30056267976760864
48,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.43328062269865386
48,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.00010713934898376465
49,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.0734261563541958
49,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0037501391489058733
50,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.12684737689171197
50,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.002908780239522457
51,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.09427935141561067
51,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.048451706767082214
52,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.19667655896653816
52,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.29488617181777954
53,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2503698245652816
53,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.12980452179908752
